timestamp,open,high,low,close,volume,ma_5
2023-06-30 18:00:00,1931.8,1943.0,1923.71,1929.18,12268.1097,1929.6439999999998
2023-06-30 18:15:00,1929.17,1935.0,1924.49,1927.03,10183.7609,1931.5900000000001
2023-06-30 18:30:00,1927.03,1929.0,1914.55,1917.21,9075.1677,1930.2720000000002
2023-06-30 18:45:00,1917.22,1925.2,1917.01,1924.61,4195.3241,1925.966
2023-06-30 19:00:00,1924.62,1927.11,1921.0,1924.62,3357.5475,1924.53
2023-06-30 19:15:00,1924.62,1927.35,1922.02,1922.59,2579.9572,1923.212
2023-06-30 19:30:00,1922.6,1925.28,1917.82,1923.59,2940.1849,1922.524
2023-06-30 19:45:00,1923.59,1931.4,1923.01,1926.32,3211.4046,1924.346
2023-06-30 20:00:00,1926.32,1929.98,1924.61,1925.01,3090.9585,1924.426
2023-06-30 20:15:00,1925.01,1932.37,1922.25,1931.23,3154.1616,1925.748
2023-06-30 20:30:00,1931.23,1932.0,1925.62,1927.39,2012.2759,1926.708
2023-06-30 20:45:00,1927.4,1930.13,1924.84,1927.25,2693.116,1927.44
2023-06-30 21:00:00,1927.25,1928.56,1918.66,1923.38,4860.9957,1926.852
2023-06-30 21:15:00,1923.38,1932.84,1923.37,1932.0,4062.8318,1928.25
2023-06-30 21:30:00,1931.99,1933.53,1928.39,1928.75,2791.1574,1927.7540000000001
2023-06-30 21:45:00,1928.75,1932.23,1928.38,1931.95,1134.376,1928.666
2023-06-30 22:00:00,1931.96,1937.18,1930.73,1934.11,2116.9956,1930.038
2023-06-30 22:15:00,1934.11,1936.8,1932.07,1936.2,2701.4567,1932.602
2023-06-30 22:30:00,1936.36,1940.41,1935.64,1935.81,2855.8033,1933.364
2023-06-30 22:45:00,1935.8,1935.81,1932.59,1934.59,1265.5341,1934.532
2023-06-30 23:00:00,1934.6,1934.65,1930.78,1932.55,2921.315,1934.652
2023-06-30 23:15:00,1932.55,1937.5,1931.19,1936.41,3121.6184,1935.1119999999999
2023-06-30 23:30:00,1936.41,1943.68,1933.84,1934.94,4948.4765,1934.86
2023-06-30 23:45:00,1934.94,1935.6,1931.77,1933.79,2802.9292,1934.4560000000001
2023-07-01 00:00:00,1933.8,1938.42,1930.01,1933.46,3309.7279,1934.23
2023-07-01 00:15:00,1933.47,1940.8,1932.33,1939.59,3108.3161,1935.6380000000001
2023-07-01 00:30:00,1939.58,1944.56,1935.77,1943.18,10575.25,1936.9919999999997
2023-07-01 00:45:00,1943.17,1943.18,1933.5,1934.11,3094.7826,1936.8259999999998
