timestamp,open,high,low,close,volume
2023-07-07 01:45:00,30088.2,30119.06,30066.37,30086.0,558.70964
2023-07-07 02:00:00,30085.99,30096.57,30054.74,30091.86,392.8095
2023-07-07 02:15:00,30091.86,30101.79,30073.43,30089.1,216.04272
2023-07-07 02:30:00,30089.09,30129.24,30072.21,30121.54,355.58147
2023-07-07 02:45:00,30121.54,30143.4,30077.14,30102.98,442.08584
2023-07-07 03:00:00,30102.98,30108.17,30062.17,30091.04,341.83406
2023-07-07 03:15:00,30091.04,30165.64,30091.03,30101.7,391.64023
2023-07-07 03:30:00,30101.69,30137.09,30091.58,30110.0,262.70946
2023-07-07 03:45:00,30110.01,30143.92,30103.97,30135.4,213.09287
2023-07-07 04:00:00,30135.41,30173.37,30123.72,30129.69,303.81477
2023-07-07 04:15:00,30129.7,30129.7,30091.95,30107.39,253.88206
2023-07-07 04:30:00,30107.39,30125.48,30085.2,30115.34,147.84728
2023-07-07 04:45:00,30115.35,30115.35,30076.61,30087.81,243.54592
2023-07-07 05:00:00,30087.8,30089.0,30057.2,30080.85,233.20949
2023-07-07 05:15:00,30080.85,30277.28,30076.33,30201.16,600.25981
2023-07-07 05:30:00,30201.15,30300.0,30184.65,30248.49,478.82393
2023-07-07 05:45:00,30248.49,30290.99,30204.01,30208.4,346.25083
2023-07-07 06:00:00,30208.4,30240.01,30190.26,30190.26,382.69863
2023-07-07 06:15:00,30190.27,30203.5,30100.0,30137.43,413.58274
2023-07-07 06:30:00,30137.42,30176.01,30100.08,30141.54,208.34924
2023-07-07 06:45:00,30141.55,30145.7,30100.0,30117.0,223.49947
2023-07-07 07:00:00,30117.0,30138.89,30090.34,30113.45,261.27897
2023-07-07 07:15:00,30113.46,30126.94,30088.0,30088.0,257.35805
2023-07-07 07:30:00,30088.01,30126.21,30050.0,30092.23,461.40192
2023-07-07 07:45:00,30092.23,30097.79,29930.53,30007.4,789.48495
2023-07-07 08:00:00,30007.41,30088.95,29970.0,30071.2,324.37366
2023-07-07 08:15:00,30071.19,30084.0,30011.23,30042.72,346.96987
2023-07-07 08:30:00,30042.73,30086.09,30027.42,30071.99,217.21083
2023-07-07 08:45:00,30071.99,30109.0,30055.11,30055.41,219.90764
2023-07-07 09:00:00,30055.41,30099.99,30055.4,30089.0,192.5202
2023-07-07 09:15:00,30089.01,30155.0,30081.45,30152.2,234.10277
2023-07-07 09:30:00,30152.21,30185.0,30117.42,30168.01,253.09216
2023-07-07 09:45:00,30168.0,30187.27,30121.42,30138.79,250.93482
2023-07-07 10:00:00,30138.79,30152.82,30088.99,30101.25,409.28827
2023-07-07 10:15:00,30101.25,30118.5,30094.96,30117.87,237.65122
2023-07-07 10:30:00,30117.87,30139.35,30104.13,30139.35,408.67241
2023-07-07 10:45:00,30139.34,30168.75,30139.34,30165.88,220.72048
2023-07-07 11:00:00,30165.88,30182.0,30125.22,30129.34,300.80671
2023-07-07 11:15:00,30129.33,30176.78,30129.33,30171.49,158.20934
2023-07-07 11:30:00,30171.48,30199.0,30150.0,30150.45,229.44985
2023-07-07 11:45:00,30150.45,30177.0,30100.0,30118.7,264.06525
2023-07-07 12:00:00,30118.7,30182.06,30105.79,30126.51,328.56268
2023-07-07 12:15:00,30126.5,30132.17,30085.0,30114.46,453.20815
2023-07-07 12:30:00,30114.45,30350.0,30041.05,30159.37,2069.51758
2023-07-07 12:45:00,30159.37,30250.01,30159.37,30203.98,658.24075
2023-07-07 13:00:00,30203.99,30256.49,30127.83,30223.86,508.65429
2023-07-07 13:15:00,30223.86,30286.85,30196.21,30281.65,348.92653
2023-07-07 13:30:00,30281.65,30297.4,30230.73,30273.71,428.78109
2023-07-07 13:45:00,30273.71,30388.0,30253.93,30385.39,651.94057
2023-07-07 14:00:00,30385.4,30443.75,30305.49,30318.0,903.67227
2023-07-07 14:15:00,30317.99,30354.59,30263.97,30333.56,474.6776
2023-07-07 14:30:00,30333.56,30378.96,30263.97,30346.32,464.20549
2023-07-07 14:45:00,30346.33,30411.5,30343.82,30411.49,475.2956
2023-07-07 15:00:00,30411.49,30425.69,30333.87,30347.14,444.17129
2023-07-07 15:15:00,30347.15,30385.03,30328.0,30349.17,231.16804
2023-07-07 15:30:00,30349.18,30367.39,30312.45,30340.98,251.47176
